тип населенного пункта;численность населения;год рождения;возраст;образование;семейное положение;пол;день рождения;месяц рождения;жили в другом городе;национальность;трудоустройство;удовлетворенность работой;удовлетворенность оплатой;отрасль где работаете;месячная зарплата;были ли в отпуске последние 12 месяцев;удовлетворенность материальным положением;сколько классов закончили;в какой школе учились;вера;получаете пенсию;испытывате чувство одиночества;вес;рост;пульс;размер семьи;вы счастливы?
Село;590;1970;47;7-9 классов школы (незак. средн) + ПТУ без диплома;Состоите в зарегистрированном браке;ЖЕНСКИЙ;30;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;НАУКА, КУЛЬТУРА;6500;Да;Совсем не удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;76;168;77;2;Да
Село;1201;1977;40;9 классов школы;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;17;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;12000;Нет;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;97;163;85;5;Нет
Город;239800;1991;26;есть диплом о высшем образовании;Никогда в браке не состояли;ЖЕНСКИЙ;24;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;13000;Да;Совсем не удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;55;162;57;1;Да
Село;11174;1954;63;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;18;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;13600;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;80;164;84;1;Да
Село;11761;1973;44;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;6;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ФИНАНСЫ;15000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;70;173;69;3;Нет
Областной центр;1143535;1985;32;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;26;Ноябрь;Нет;ТАТАРИН(КА);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;РЕКЛАМА, МАРКЕТИНГ;15000;Нет;И да, и нет;11;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Практически никогда;67;164;65;5;Да
Город;239800;1962;54;техникум с дипломом;Живете вместе, но не зарегистрированы;МУЖСКОЙ;14;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;17000;Да;Совсем не удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;68;170;67;2;Нет
ПГТ;6067;1997;20;техникум с дипломом;Никогда в браке не состояли;ЖЕНСКИЙ;3;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;НАУКА, КУЛЬТУРА;17000;Нет;Скорее удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Часто;50;156;70;5;Да
Областной центр;1253335;1985;32;есть диплом о высшем образовании;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;28;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;НЕТ ОТВЕТА;НЕТ ОТВЕТА;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;17000;Нет;Совсем не удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;57;159;68;2;Да
Областной центр;744995;1961;56;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;22;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;19000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;75;155;60;4;Нет
ПГТ;3500;1969;48;техникум с дипломом;Bдовец (вдова);ЖЕНСКИЙ;6;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;19300;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Часто;75;172;67;5;Да
Областной центр;501169;1976;41;1-2 года в высшем учебном заведении;Состоите в зарегистрированном браке;МУЖСКОЙ;19;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;23000;Нет;Совсем не удовлетворены;10;В школе с углубленным или профильным преподаванием предметов;ЗАТРУДНЯЮСЬ ОТВЕТИТЬ;Нет;Редко;90;183;63;3;Да
Областной центр;12325387;1970;47;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;6;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;25000;Да;И да, и нет;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;60;158;69;1;Да
Город;239800;1974;43;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;26;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ФИНАНСЫ;25000;Да;И да, и нет;8;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;88;171;74;4;Да
Областной центр;333606;1984;33;9 классов школы;Состоите в зарегистрированном браке;МУЖСКОЙ;4;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;25000;Да;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;50;160;63;5;Да
Областной центр;508887;1983;34;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;4;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ;27000;Да;И да, и нет;11;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Практически никогда;76;172;74;1;Да
ПГТ;9859;1992;25;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;3;Ноябрь;Да;КАБАРДИНЕЦ(КА);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ЗДРАВООХРАНЕНИЕ;28000;Да;Скорее удовлетворены;11;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Практически никогда;66;168;79;2;Да
Областной центр;744995;1979;38;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;24;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы находитесь в любом другом оплачиваемом отпуске;И ДА, И НЕТ;И ДА, И НЕТ;НАУКА, КУЛЬТУРА;32000;Да;Совсем не удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;77;170;60;5;Да
Город;111843;1992;25;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;2;Декабрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;45000;Да;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;80;178;81;2;ЗАТРУДНЯЮСЬ ОТВЕТИТЬ
Город;52817;1966;51;есть диплом о высшем образовании;Разведены и в браке не состоите;ЖЕНСКИЙ;3;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ;47000;Да;Скорее удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;53;153;69;1;Нет
Областной центр;837900;1990;27;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;1;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;55000;Да;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;68;170;54;1;Да
Областной центр;12325387;1993;24;аспирантура и т.п. без диплома;Никогда в браке не состояли;МУЖСКОЙ;18;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ОРГАНЫ УПРАВЛЕНИЯ;70000;Да;Не очень удовлетворены;11;В школе с углубленным или профильным преподаванием предметов;ПРАВОСЛАВИЕ;Нет;Редко;62;178;54;4;Да
Областной центр;973826;1945;72;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;13;Декабрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС;75000;Да;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;77;176;68;1;Да
Город;104736;1974;43;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;18;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СТРОИТЕЛЬСТВО;115000;Да;Скорее удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;84;173;56;2;Да
Областной центр;973826;1989;28;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;10;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы находитесь в отпуске - декретном или по уходу за ребенком до 3-х лет;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;0;Нет;Совсем не удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;63;170;55;2;Да
Село;2422;1959;57;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;18;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;5000;Да;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;88;158;60;1;Нет
Село;100;1989;28;10 и более классов школы и какое-либо професс. обр. с дипломом;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;4;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;НАУКА, КУЛЬТУРА;7600;Да;Не очень удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;78;156;67;5;Да
ПГТ;12161;1948;68;1-2 года в высшем учебном заведении;Состоите в зарегистрированном браке;МУЖСКОЙ;21;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЗАТРУДНЯЮСЬ ОТВЕТИТЬ;9000;Нет;И да, и нет;10;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Да;Практически никогда;68;170;56;1;Да
Село;1320;1966;51;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;23;Сентябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;10000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;56;164;85;2;Да
Город;72153;1971;46;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;17;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;10000;Нет;Полностью удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;71;164;62;2;Да
Областной центр;592034;1938;79;есть диплом о высшем образовании;Bдовец (вдова);ЖЕНСКИЙ;24;Октябрь;Да;УКРАИНЕЦ(КА);Вы сейчас работаете;И ДА, И НЕТ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;12000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Часто;75;164;57;3;Нет
ПГТ;10772;1976;41;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;14;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СЕЛЬСКОЕ ХОЗЯЙСТВО;15000;Да;Не очень удовлетворены;10;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Практически никогда;90;178;70;1;Да
Село;1450;1994;22;10 и более классов школы и какое-либо професс. обр. с дипломом;Разведены и в браке не состоите;ЖЕНСКИЙ;2;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;15000;Нет;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;70;158;70;5;Да
Город;95854;1963;54;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;5;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ;15000;Да;Скорее удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;80;178;80;1;Да
Областной центр;1143535;1981;36;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;6;Декабрь;Нет;ТАТАРИН(КА);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;15000;Да;Не очень удовлетворены;10;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Практически никогда;60;165;61;4;Да
Областной центр;508887;1990;27;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;3;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы находитесь в отпуске - декретном или по уходу за ребенком до 3-х лет;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;18000;Нет;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;82;182;80;4;Да
ПГТ;7387;1964;53;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;11;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ОРГАНЫ УПРАВЛЕНИЯ;18000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;;150;57;2;Да
Областной центр;1253335;1972;45;10 и более классов школы и какое-либо професс. обр. с дипломом;Никогда в браке не состояли;ЖЕНСКИЙ;3;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;20000;Да;Совсем не удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;;;60;2;Да
Областной центр;4879566;1985;32;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;30;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;УСЛУГИ НАСЕЛЕНИЮ;20000;Нет;Совсем не удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;70;178;85;3;Да
Село;1477;1971;46;9 классов школы;Состоите в зарегистрированном браке;МУЖСКОЙ;19;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ОБРАЗОВАНИЕ;20000;Нет;И да, и нет;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;80;176;74;5;Да
Областной центр;249806;1994;23;есть диплом о высшем образовании;Никогда в браке не состояли;ЖЕНСКИЙ;7;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ДЕРЕВООБРАБАТЫВАЮЩАЯ ПРОМЫШЛЕННОСТЬ, ЛЕСНОЕ ХОЗЯЙСТВО;20000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;58;165;74;1;Да
Областной центр;508887;1968;49;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;8;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;22000;Нет;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;74;171;70;2;Да
Областной центр;744995;1981;36;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;12;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СТРОИТЕЛЬСТВО;23000;Нет;Не очень удовлетворены;11;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Практически никогда;74;178;81;1;Да
Город;95854;1954;63;есть диплом о высшем образовании;Никогда в браке не состояли;ЖЕНСКИЙ;16;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;24000;Да;Скорее удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;95;143;65;5;Нет
ПГТ;9859;1972;44;есть диплом о высшем образовании;Bдовец (вдова);ЖЕНСКИЙ;19;Октябрь;Нет;КАБАРДИНЕЦ(КА);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ОРГАНЫ УПРАВЛЕНИЯ;24000;Да;И да, и нет;10;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Практически никогда;52;164;69;2;Да
Областной центр;1130132;1983;34;1-2 года в высшем учебном заведении;Никогда в браке не состояли;МУЖСКОЙ;2;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;УСЛУГИ НАСЕЛЕНИЮ;25000;Да;Не очень удовлетворены;9;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Практически никогда;75;160;80;1;Да
Областной центр;1253335;1991;26;есть диплом о высшем образовании;Никогда в браке не состояли;МУЖСКОЙ;30;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;НЕТ ОТВЕТА;25000;Да;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;76;183;62;2;Да
Город;97384;1971;46;8 классов школы;Состоите в зарегистрированном браке;МУЖСКОЙ;4;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;СТРОИТЕЛЬСТВО;25000;Да;Совсем не удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;61;163;57;5;Да
Областной центр;1130132;1968;49;среднее образование - есть аттестат о ср. образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;20;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ;26000;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;100;178;73;4;Нет
Областной центр;12325387;1994;22;техникум с дипломом;Никогда в браке не состояли;МУЖСКОЙ;7;Ноябрь;Нет;МОРДОВИН(КА);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;27000;Да;Скорее удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;65;182;77;2;Да
Областной центр;1130132;1986;31;среднее образование - есть аттестат о ср. образовании;Разведены и в браке не состоите;МУЖСКОЙ;7;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;28000;Да;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;100;181;74;4;Нет
Областной центр;12325387;1963;54;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;10;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;28000;Да;Совсем не удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;120;175;71;1;Нет
Город;61982;1966;51;8 классов школы;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;10;Декабрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ГРАЖДАНСКОЕ МАШИНОСТРОЕНИЕ;30000;Да;И да, и нет;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;72;163;60;4;Да
Областной центр;1253335;1971;46;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;21;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ГРАЖДАНСКОЕ МАШИНОСТРОЕНИЕ;30000;Да;Не очень удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;120;186;75;5;Да
Областной центр;249806;1988;29;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;23;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;32000;Да;Не очень удовлетворены;11;В гимназии, школе с гимназическими классами;ПРАВОСЛАВИЕ;Нет;Практически никогда;85;186;55;3;Да
Областной центр;744995;1988;29;есть диплом о высшем образовании;Никогда в браке не состояли;МУЖСКОЙ;7;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;ЗДРАВООХРАНЕНИЕ;35000;Да;И да, и нет;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;80;181;61;5;Да
Село;8007;1990;27;есть диплом о высшем образовании;Никогда в браке не состояли;МУЖСКОЙ;2;Октябрь;Да;КАБАРДИНЕЦ(КА);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СТРОИТЕЛЬСТВО;36000;Да;Скорее удовлетворены;11;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Редко;72;172;80;4;Да
